STORER,LOT,ITEMNUMBER,STORERLOT,DOCUMENTNUMBER,STARTDATE,STARTTIME,COMPLETIONDATE,COMPLETIONTIME,COMPLETEDBY,PALLET,DOCUMENTDESCRIPTION,REASON,FULLDESCRIPTION,CUSTOMERNAME,FROMTO,QUANTITY,INNERPACK,CREATEDATE,CREATETIME,UMIID,CASES
"001859","0889628   ","SNK534                   ","3086                ","0318653   ","2023-10-06","07.09.16","2023-10-06","07.11.44","OSCAR     ","0889628-04  ","Pick                          ",,"Sprout Organics CoComelon Wafflez Toddler Snack Chocolate Chip and Oatmeal 5 Waffles 0.63 oz Eac    ","Sprout Foods, Inc             ","From: D042       To:           ",-4       ,1      ,"2023-10-06","07.09.16",1      ,1.00       
"001859","0950577   ","SNK844                   ","3220                ","0318660   ","2023-10-06","07.08.22","2023-10-06","07.12.14","ERICKA    ","0950577-10  ","Pick                          ",,"Sprout Organics CoComelon Curlz Toddler Snack White Cheddar 1.48 oz                                 ","Sprout Foods, Inc             ","From: C030       To:           ",-3       ,1      ,"2023-10-06","07.08.22",1      ,1.00       
"001859","0873285   ","SNK521                   ","3045                ","0318414   ","2023-10-06","07.12.54","2023-10-06","07.13.37","ESTEPHANIE","0873285-06  ","Pick                          ",,"Sprout Organics Curlz Toddler Snack White Cheddar 1.48 oz                                           ","Sprout Foods, Inc             ","From: C008       To:           ",-1       ,1      ,"2023-10-06","07.12.54",1      ,1.00       
"001859","0908620   ","SNK856                   ","3004                ","0318660   ","2023-10-06","07.12.15","2023-10-06","07.14.09","ERICKA    ","0908620-14  ","Pick                          ",,"Sprout Organics CoComelon Wafflez Toddler Snack SPR CM BLUEBERRY APPLE WAFF                         ","Sprout Foods, Inc             ","From: D050       To:           ",-7       ,1      ,"2023-10-06","07.12.15",1      ,1.00       
"001859","0950577   ","SNK844                   ","3220                ","0318653   ","2023-10-06","07.11.45","2023-10-06","07.14.13","OSCAR     ","0950577-10  ","Pick                          ",,"Sprout Organics CoComelon Curlz Toddler Snack White Cheddar 1.48 oz                                 ","Sprout Foods, Inc             ","From: C030       To:           ",-4       ,1      ,"2023-10-06","07.11.45",1      ,1.00       
"001859","0887607   ","SNK863                   ","3024                ","0318414   ","2023-10-06","07.13.37","2023-10-06","07.14.58","ESTEPHANIE","0887607-10  ","Pick                          ",,"Peanut Butter Banana Puffs                                                                          ","Sprout Foods, Inc             ","From: C019       To:           ",-1       ,1      ,"2023-10-06","07.13.37",1      ,1.00       
"001859","0951178   ","HFS839                   ","3191                ","0998294   ","2023-10-06","07.15.28","2023-10-06","07.15.32","CARLOS    ","0951178-11  ","Move                          ",,"Sprout Organics CoComelon Apple Oatmeal Raisin andCinnamon 6+ Months 3.5 oz                         ","Sprout Foods, Inc             ","From: A039       To: A033      ",180      ,2      ,"2023-10-06","07.15.32",0      ,-90.00     
"001859","0951178   ","HFS839                   ","3191                ","0998295   ","2023-10-06","07.15.33","2023-10-06","07.15.36","CARLOS    ","0951178-12  ","Move                          ",,"Sprout Organics CoComelon Apple Oatmeal Raisin andCinnamon 6+ Months 3.5 oz                         ","Sprout Foods, Inc             ","From: A039       To: A033      ",180      ,2      ,"2023-10-06","07.15.36",0      ,-90.00     
"001859","0960450   ","HFS839                   ","3192                ","0998296   ","2023-10-06","07.15.39","2023-10-06","07.15.43","CARLOS    ","0960450-06  ","Move                          ",,"Sprout Organics CoComelon Apple Oatmeal Raisin andCinnamon 6+ Months 3.5 oz                         ","Sprout Foods, Inc             ","From: A039       To: A033      ",180      ,2      ,"2023-10-06","07.15.43",0      ,-90.00     
"001859","0960450   ","HFS839                   ","3192                ","0998297   ","2023-10-06","07.15.45","2023-10-06","07.15.49","CARLOS    ","0960450-07  ","Move                          ",,"Sprout Organics CoComelon Apple Oatmeal Raisin andCinnamon 6+ Months 3.5 oz                         ","Sprout Foods, Inc             ","From: A039       To: A033      ",180      ,2      ,"2023-10-06","07.15.49",0      ,-90.00     
